ID,DMS-V31,DMS-V22,HMS-301,HMS-151,PMM-0025,PDM-0421,PMM-1015,PMM-1021
1,0.87,0,0,0.039,0,0,0,0.087
2,0.87,0,0,0.039,0,0.087,0,0
3,0.87,0,0,0.039,0,0,0.087,0
4,0.91,0,0,0.042,0,0.045,0,0
5,0.91,0,0,0.042,0,0,0.045,0
6,0.87,0,0,0.039,0.087,0,0,0
7,0.95,0,0,0.043,0,0,0,0
8,0.91,0,0,0.042,0,0,0,0.045
9,0.91,0,0,0.042,0.045,0,0,0
10,0,0.89,0.056,0,0,0,0,0.044
11,0,0.89,0.056,0,0,0,0.044,0
12,0,0.89,0.056,0,0.044,0,0,0
13,0,0.86,0.053,0,0,0,0.086,0
14,0,0.86,0.053,0,0.086,0,0,0
15,0,0.94,0.058,0,0,0,0,0
16,0,0.86,0.053,0,0,0.086,0,0
17,0,0.86,0.053,0,0,0,0,0.086
18,0,0.89,0.056,0,0,0.044,0,0
